object,view,step,envmap,psnr,ssim,lpips
GreenChair_01,00050,17,GreenChair_01_env_1,8.747553,0.5061017274856567,0.7267013192176819
GreenChair_01,00050,18,GreenChair_01_env_1,8.567651,0.5050652027130127,0.735345721244812
GreenChair_01,00050,19,GreenChair_01_env_1,8.370458,0.5025918483734131,0.7425020337104797
Megaphone_01,00051,0,Megaphone_01_env_2,31.867485,0.9758702516555786,0.02325384132564068
Megaphone_01,00051,1,Megaphone_01_env_0,27.077835,0.9344027042388916,0.03619600832462311
Megaphone_01,00051,2,Megaphone_01_env_2,26.820637,0.9539362788200378,0.04759284481406212
Megaphone_01,00051,3,Megaphone_01_env_2,25.140652,0.9469121694564819,0.05622497946023941
Megaphone_01,00051,4,Megaphone_01_env_0,20.741608,0.8678420782089233,0.07986535131931305
Megaphone_01,00051,5,Megaphone_01_env_0,21.86672,0.8825299143791199,0.07873977720737457
Megaphone_01,00051,6,Megaphone_01_env_2,21.492458,0.908251941204071,0.11312830448150635
Megaphone_01,00051,7,Megaphone_01_env_1,16.835567,0.8285843729972839,0.13670614361763
Megaphone_01,00051,8,Megaphone_01_env_2,18.560045,0.8751334547996521,0.1558697670698166
Megaphone_01,00051,9,Megaphone_01_env_2,17.795637,0.8668777346611023,0.16603821516036987
Megaphone_01,00051,10,Megaphone_01_env_2,17.266764,0.8579854369163513,0.17637690901756287
Megaphone_01,00051,11,Megaphone_01_env_2,16.888123,0.8451598882675171,0.19157643616199493
Megaphone_01,00051,12,Megaphone_01_env_0,13.087366,0.7473112344741821,0.2942920923233032
Megaphone_01,00051,13,Megaphone_01_env_2,15.324121,0.7706385850906372,0.3397192358970642
Megaphone_01,00051,14,Megaphone_01_env_1,11.957273,0.6698040962219238,0.4502187967300415
Megaphone_01,00051,15,Megaphone_01_env_0,10.995739,0.5383342504501343,0.562351405620575
Megaphone_01,00051,16,Megaphone_01_env_1,10.42622,0.504660964012146,0.5900400876998901
Megaphone_01,00051,17,Megaphone_01_env_1,9.950935,0.4826217591762543,0.6113327741622925
Megaphone_01,00051,18,Megaphone_01_env_1,9.515354,0.46221184730529785,0.6273933053016663
Megaphone_01,00051,19,Megaphone_01_env_1,9.152096,0.4493199586868286,0.6428247690200806
